Field\s(G)	S21\s(G)
+09.1670E+00	-4.70105100000E+000
+16.7380E+00	-4.70155000000E+000
+24.8870E+00	-4.70142600000E+000
+033.230E+00	-4.70184400000E+000
+041.750E+00	-4.70206000000E+000
+050.100E+00	-4.70296000000E+000
+058.450E+00	-4.70332600000E+000
+066.850E+00	-4.70412200000E+000
+075.240E+00	-4.70447800000E+000
+083.930E+00	-4.70539800000E+000
+092.340E+00	-4.70639200000E+000
+100.800E+00	-4.70704900000E+000
+109.240E+00	-4.70807300000E+000
+117.700E+00	-4.70884700000E+000
+126.160E+00	-4.70974300000E+000
+134.910E+00	-4.71094000000E+000
+143.370E+00	-4.71217400000E+000
+151.850E+00	-4.71308200000E+000
+160.330E+00	-4.71408300000E+000
+168.830E+00	-4.71484700000E+000
+177.310E+00	-4.71589800000E+000
+186.110E+00	-4.71688100000E+000
+194.620E+00	-4.71799400000E+000
+203.140E+00	-4.71911400000E+000
+211.630E+00	-4.72010300000E+000
+220.150E+00	-4.72117300000E+000
+228.680E+00	-4.72230500000E+000
+237.480E+00	-4.72260400000E+000
+246.020E+00	-4.72376300000E+000
+254.550E+00	-4.72448100000E+000
+263.090E+00	-4.72596300000E+000
+271.640E+00	-4.72677400000E+000
+280.180E+00	-4.72745400000E+000
+289.000E+00	-4.72850900000E+000
+297.540E+00	-4.72975800000E+000
+0.30630E+03	-4.73109600000E+000
+0.31460E+03	-4.73169500000E+000
+0.32320E+03	-4.73275700000E+000
+0.33170E+03	-4.73341100000E+000
+0.34050E+03	-4.73455900000E+000
+0.34910E+03	-4.73551900000E+000
+0.35770E+03	-4.73657000000E+000
+0.36620E+03	-4.73764100000E+000
+0.37480E+03	-4.73862600000E+000
+0.38340E+03	-4.73944500000E+000
+0.39220E+03	-4.74059700000E+000
+0.40080E+03	-4.74149100000E+000
+0.40940E+03	-4.74241700000E+000
+0.41800E+03	-4.74321900000E+000
+0.42660E+03	-4.74417900000E+000
+0.43520E+03	-4.74488500000E+000
+0.44400E+03	-4.74566000000E+000
+0.45260E+03	-4.74626300000E+000
+0.46120E+03	-4.74671600000E+000
+0.46990E+03	-4.74696500000E+000
+0.47840E+03	-4.74722100000E+000
+0.48710E+03	-4.74758100000E+000
+0.49590E+03	-4.74747500000E+000
+0.50460E+03	-4.74697600000E+000
+0.51320E+03	-4.74637900000E+000
+0.52180E+03	-4.74615900000E+000
+0.53040E+03	-4.74627300000E+000
+0.53900E+03	-4.74577900000E+000
+0.54790E+03	-4.74491400000E+000
+0.55660E+03	-4.74432100000E+000
+0.56520E+03	-4.74388600000E+000
+0.57380E+03	-4.74362600000E+000
+0.58240E+03	-4.74322100000E+000
+0.59110E+03	-4.74276500000E+000
+0.60000E+03	-4.74243600000E+000
+0.60860E+03	-4.74238300000E+000
+0.61730E+03	-4.74190400000E+000
+0.62590E+03	-4.74170000000E+000
+0.63460E+03	-4.74223200000E+000
+0.64320E+03	-4.74213700000E+000
+0.65210E+03	-4.74181700000E+000
+0.66070E+03	-4.74144200000E+000
+0.66940E+03	-4.74153700000E+000
+0.67800E+03	-4.74175900000E+000
+0.68670E+03	-4.74149400000E+000
+0.69530E+03	-4.74147000000E+000
+0.70430E+03	-4.74115100000E+000
+0.71290E+03	-4.74128900000E+000
+0.72160E+03	-4.74102100000E+000
+0.73020E+03	-4.74069500000E+000
+0.73890E+03	-4.74092900000E+000
+0.74750E+03	-4.74061400000E+000
+0.75650E+03	-4.74074000000E+000
+0.76510E+03	-4.74039700000E+000
+0.77380E+03	-4.74039600000E+000
+0.78240E+03	-4.74016600000E+000
+0.79110E+03	-4.74013500000E+000
+0.79970E+03	-4.73993200000E+000
+0.80870E+03	-4.73963500000E+000
+0.81730E+03	-4.73948100000E+000
+0.82600E+03	-4.73957600000E+000
+0.83470E+03	-4.73912800000E+000
+0.84330E+03	-4.73894100000E+000
+0.85200E+03	-4.73891900000E+000
+0.86090E+03	-4.73874400000E+000
+0.86960E+03	-4.73857300000E+000
+0.87820E+03	-4.73841800000E+000
+0.88690E+03	-4.73851400000E+000
+0.89550E+03	-4.73804400000E+000
+0.90420E+03	-4.73787000000E+000
+0.91320E+03	-4.73772400000E+000
+0.92180E+03	-4.73746900000E+000
+0.93050E+03	-4.73691100000E+000
+0.93910E+03	-4.73692500000E+000
+0.94780E+03	-4.73672000000E+000
+0.95640E+03	-4.73658700000E+000
+0.96540E+03	-4.73665200000E+000
+0.97410E+03	-4.73676200000E+000
+0.98270E+03	-4.73667400000E+000
+0.99140E+03	-4.73633500000E+000
+1.00000E+03	-4.73581600000E+000
+1.00870E+03	-4.73629100000E+000
+1.01760E+03	-4.73606900000E+000
+1.02630E+03	-4.73594000000E+000
+1.03490E+03	-4.73570500000E+000
+1.04360E+03	-4.73536500000E+000
+1.05220E+03	-4.73511300000E+000
+1.06090E+03	-4.73492500000E+000
+1.06980E+03	-4.73492800000E+000
+1.07850E+03	-4.73457600000E+000
+1.08710E+03	-4.73446900000E+000
+1.09580E+03	-4.73433000000E+000
+1.10440E+03	-4.73425900000E+000
+1.11310E+03	-4.73392100000E+000
+1.12200E+03	-4.73380400000E+000
+1.13070E+03	-4.73371100000E+000
+1.13930E+03	-4.73371700000E+000
+1.14800E+03	-4.73334500000E+000
+1.15660E+03	-4.73325100000E+000
+1.16530E+03	-4.73311900000E+000
+1.17420E+03	-4.73288300000E+000
+1.18290E+03	-4.73269200000E+000
+1.19150E+03	-4.73261100000E+000
+1.20020E+03	-4.73237100000E+000
+1.20880E+03	-4.73219900000E+000
+1.21770E+03	-4.73216000000E+000
+1.22640E+03	-4.73212200000E+000
+1.23510E+03	-4.73232500000E+000
+1.24370E+03	-4.73219800000E+000
+1.25230E+03	-4.73208100000E+000
+1.26100E+03	-4.73190100000E+000
+1.26990E+03	-4.73187500000E+000
+1.27860E+03	-4.73177100000E+000
+1.28720E+03	-4.73171200000E+000
+1.29580E+03	-4.73189900000E+000
+1.30450E+03	-4.73166300000E+000
+1.31310E+03	-4.73201500000E+000
+1.32200E+03	-4.73193400000E+000
+1.33070E+03	-4.73187700000E+000
+1.33930E+03	-4.73170800000E+000
+1.34800E+03	-4.73171100000E+000
+1.35660E+03	-4.73150300000E+000
+1.36530E+03	-4.73157000000E+000
+1.37420E+03	-4.73168800000E+000
+1.38280E+03	-4.73127300000E+000
+1.39150E+03	-4.73138000000E+000
+1.40010E+03	-4.73160500000E+000
+1.40870E+03	-4.73175900000E+000
+1.41740E+03	-4.73180600000E+000
+1.42630E+03	-4.73195900000E+000
+1.43490E+03	-4.73188300000E+000
+1.44350E+03	-4.73190200000E+000
+1.45220E+03	-4.73208000000E+000
+1.46080E+03	-4.73196400000E+000
+1.46940E+03	-4.73197200000E+000
+1.47830E+03	-4.73228000000E+000
+1.48700E+03	-4.73252200000E+000
+1.49560E+03	-4.73243600000E+000
+1.50420E+03	-4.73243100000E+000
+1.51280E+03	-4.73233500000E+000
+1.52150E+03	-4.73261300000E+000
+1.53040E+03	-4.73253200000E+000
+1.53900E+03	-4.73242900000E+000
+1.54760E+03	-4.73271200000E+000
+1.55620E+03	-4.73258300000E+000
+1.56480E+03	-4.73305900000E+000
+1.57350E+03	-4.73308500000E+000
+1.58240E+03	-4.73321300000E+000
+1.59100E+03	-4.73352600000E+000
+1.59960E+03	-4.73371500000E+000
+1.60820E+03	-4.73403800000E+000
+1.61680E+03	-4.73418700000E+000
+1.62540E+03	-4.73422800000E+000
+1.63430E+03	-4.73437100000E+000
+1.64290E+03	-4.73407500000E+000
+1.65160E+03	-4.73451100000E+000
+1.66020E+03	-4.73485700000E+000
+1.66880E+03	-4.73493500000E+000
+1.67740E+03	-4.73487200000E+000
+1.68630E+03	-4.73493100000E+000
+1.69490E+03	-4.73522300000E+000
+1.70350E+03	-4.73489000000E+000
+1.71210E+03	-4.73512200000E+000
+1.72070E+03	-4.73551200000E+000
+1.72930E+03	-4.73569500000E+000
+1.73820E+03	-4.73601500000E+000

